	distance	matchingHashes	pvalues	reference	sample
91	0.000361208	985/1000	0	AU0074	SC1129
92	0.000361208	985/1000	0	AU0074	SC1145
93	0.000409992	983/1000	0	AU0074	SC1209
94	0.0084995	719/1000	0	AU0074	SC1210
95	0.000409992	983/1000	0	AU0074	SC1211
96	0.000385581	984/1000	0	AU0074	SC1339
97	0.000880953	964/1000	0	AU0074	SC1360
98	0.000385581	984/1000	0	AU0074	SC1371
99	0.000385581	984/1000	0	AU0074	SC1392
100	0.000409992	983/1000	0	AU0074	SC1400
101	0.000830728	966/1000	0	AU0074	SC1402
102	0.0122141	631/1000	0	AU0074	SC1407
103	0.000458924	981/1000	0	AU0074	SC1419
104	0.000409992	983/1000	0	AU0074	SC1420
105	0.000409992	983/1000	0	AU0074	SC1421
106	0.000361208	985/1000	0	AU0074	SC1435
107	0.00378594	858/1000	0	AU0074	AU7263
108	0.0034604	869/1000	0	AU0074	AU7574
109	0.00340187	871/1000	0	AU0074	AU7575
110	0.00366686	862/1000	0	AU0074	AU7576
111	0.00343111	870/1000	0	AU0074	AU7577
112	0.0011089	955/1000	0	AU0074	AU8675
113	0.00337267	872/1000	0	AU0074	AU8821
114	0.00378594	858/1000	0	AU0074	AU9400
115	0.00381583	857/1000	0	AU0074	AU9817
116	0.00515153	814/1000	0	AU0074	HI2555
117	0.00436283	839/1000	0	AU0074	HI2629
118	0.0214305	468/1000	0	AU0074	HI3282
119	0.00865422	715/1000	0	AU0074	HI3283
120	0.00175922	930/1000	0	AU0074	HI3284
121	0.0148187	578/1000	0	AU0074	HI3285
122	0.00708822	757/1000	0	AU0074	HI3286
123	0.00396608	852/1000	0	AU0074	HI3287
124	0.00337267	872/1000	0	AU0074	HI3288
125	0.00167981	933/1000	0	AU0074	HI3289
126	0.00436283	839/1000	0	AU0074	AU11243
127	0.000931334	962/1000	0	AU0074	AU1746
128	9.55247e-05	996/1000	0	AU0074	AU36973
129	0.00470559	828/1000	0	AU0074	AU6936
130	0.00402654	850/1000	0	AU0074	HI3290
131	0.000855821	965/1000	0	AU0074	AU1141
132	0.000855821	965/1000	0	AU0074	AU1142
133	0.000906124	963/1000	0	AU0074	AU1143
134	0.00378594	858/1000	0	AU0074	AU11478
135	0.00511931	815/1000	0	AU0074	AU11643
136	0.00103256	958/1000	0	AU0074	AU12824
137	0.00458019	832/1000	0	AU0074	AU1317
138	0.00375609	859/1000	0	AU0074	AU13363
139	0.00378594	858/1000	0	AU0074	AU13364
140	0.000167546	993/1000	0	AU0074	AU14286
141	0.000191626	992/1000	0	AU0074	AU15033
142	0.00680395	765/1000	0	AU0074	AU15182
143	0.0042398	843/1000	0	AU0074	AU1541
144	0.0010072	959/1000	0	AU0074	AU15410
145	0.00375609	859/1000	0	AU0074	AU15487
146	0.0037263	860/1000	0	AU0074	AU15488
147	0.0037263	860/1000	0	AU0074	AU1581
148	0.00547692	804/1000	0	AU0074	AU17012
149	0.000361208	985/1000	0	AU0074	AU1054
150	0.00162709	935/1000	0	AU0074	HI2424
151	9.55247e-05	996/1000	0	AU0075	AU0106
152	7.15897e-05	997/1000	0	AU0075	AU0201
153	0.295981	1/1000	0.000420067	AU0075	AU0300
154	0.00467416	829/1000	0	AU0075	AU0361
155	0.000483446	980/1000	0	AU0075	AU0465
156	0.0239063	434/1000	0	AU0075	AU0766
157	0.00505504	817/1000	0	AU0075	AU0927
158	0.00396608	852/1000	0	AU0075	AU10040
159	0.00408721	848/1000	0	AU0075	AU10310
160	0.000508006	979/1000	0	AU0075	AU1051
161	0.000458924	981/1000	0	AU0075	AU1055
162	0.000458924	981/1000	0	AU0075	AU1056
163	0.000458924	981/1000	0	AU0075	AU1057
164	0.000880953	964/1000	0	AU0075	AU1064
165	0.00105797	957/1000	0	AU0075	AU10643
166	0.00337267	872/1000	0	AU0075	AU11001
167	0.00328537	875/1000	0	AU0075	AU11002
168	0.00343111	870/1000	0	AU0075	AU11091
169	0.000508006	979/1000	0	AU0075	AU3739
170	0.00451781	834/1000	0	AU0075	AU3740
171	0.00433199	840/1000	0	AU0075	AU3741
172	0.0123068	629/1000	0	AU0075	AU37618
173	0.000215742	991/1000	0	AU0075	AU37865
174	0.00337267	872/1000	0	AU0075	AU38079
175	0.00464278	830/1000	0	AU0075	AU3827
176	0.000981871	960/1000	0	AU0075	AU3828
177	0.00390583	854/1000	0	AU0075	AU38375
178	0.00384578	856/1000	0	AU0075	AU4094
179	0.00464278	830/1000	0	AU0075	AU4165
180	0.000119496	995/1000	0	AU0075	AU4276
181	0.00869309	714/1000	0	AU0075	AU4359
182	0.00325637	876/1000	0	AU0075	AU4381
183	0.00381583	857/1000	0	AU0075	AU4993
184	0.00384578	856/1000	0	AU0075	AU5341
185	0.00146992	941/1000	0	AU0075	AU6015
186	0.00105797	957/1000	0	AU0075	AU6319
187	0.00121124	951/1000	0	AU0075	AU6667
188	0.0011089	955/1000	0	AU0075	AU6668
189	0.00381583	857/1000	0	AU0075	AU1836
190	0.00265838	897/1000	0	AU0075	AU18616
191	0.00804257	731/1000	0	AU0075	AU1887
192	0.00470559	828/1000	0	AU0075	AU18884
193	0.00384578	856/1000	0	AU0075	AU18901
194	0.00113443	954/1000	0	AU0075	AU20364
195	9.55247e-05	996/1000	0	AU0075	AU20865
196	0.00173271	931/1000	0	AU0075	AU20866
197	0.00390583	854/1000	0	AU0075	AU21680
198	9.55247e-05	996/1000	0	AU0075	AU21755
199	9.55247e-05	996/1000	0	AU0075	AU23407
200	7.15897e-05	997/1000	0	AU0075	AU23516
201	0.0010072	959/1000	0	AU0075	AU2427
202	0.000956583	961/1000	0	AU0075	AU2428
203	0.00227104	911/1000	0	AU0075	AU24509
204	0.00357808	865/1000	0	AU0075	AU24606
205	0.00427048	842/1000	0	AU0075	AU2554
206	0.00402654	850/1000	0	AU0075	AU25711
207	0.000956583	961/1000	0	AU0075	AU25990
208	0.0010072	959/1000	0	AU0075	AU25991
209	0.00393593	853/1000	0	AU0075	AU28089
210	0.00635099	778/1000	0	AU0075	AU28626
211	0.000880953	964/1000	0	AU0075	AU2986
212	0.0055427	802/1000	0	AU0075	AU29957
213	0.00108342	956/1000	0	AU0075	AU3060
214	0.00221642	913/1000	0	AU0075	AU30919
215	4.76906e-05	998/1000	0	AU0075	AU31639
216	0.00436283	839/1000	0	AU0075	AU32367
217	0.00387578	855/1000	0	AU0075	AU33182
218	0.000167546	993/1000	0	AU0075	AU33869
219	0.0112201	653/1000	0	AU0075	AU33878
220	0.000434439	982/1000	0	AU0075	AU3415
221	0.000458924	981/1000	0	AU0075	AU3416
222	0.0084995	719/1000	0	AU0075	AU34858
223	7.15897e-05	997/1000	0	AU0075	AU35919
224	0.00789262	735/1000	0	AU0075	AU36258
225	7.15897e-05	997/1000	0	AU0075	AU36284
226	9.55247e-05	996/1000	0	AU0075	AU36474
227	0.00414809	846/1000	0	AU0075	HI3291
228	0.00433199	840/1000	0	AU0075	HI3292
229	0.00405685	849/1000	0	AU0075	HI3293
230	0.00408721	848/1000	0	AU0075	HI3294
231	0.00408721	848/1000	0	AU0075	HI3295
232	0.00058191	976/1000	0	AU0075	PC668
233	0.000532603	978/1000	0	AU0075	PC669
234	4.76906e-05	998/1000	0	AU0075	PC673
235	0.000409992	983/1000	0	AU0075	PC674
236	0.000434439	982/1000	0	AU0075	PC675
237	0.000385581	984/1000	0	AU0075	PC676
238	0.000119496	995/1000	0	AU0075	PC677
239	0.000483446	980/1000	0	AU0075	PC678
240	0.000483446	980/1000	0	AU0075	SC1128
241	0.000409992	983/1000	0	AU0075	SC1129
242	0.000409992	983/1000	0	AU0075	SC1145
243	0.000458924	981/1000	0	AU0075	SC1209
244	0.0084995	719/1000	0	AU0075	SC1210
245	0.000458924	981/1000	0	AU0075	SC1211
246	0.000434439	982/1000	0	AU0075	SC1339
247	0.000931334	962/1000	0	AU0075	SC1360
248	0.000434439	982/1000	0	AU0075	SC1371
249	0.000434439	982/1000	0	AU0075	SC1392
250	0.000458924	981/1000	0	AU0075	SC1400
251	0.000880953	964/1000	0	AU0075	SC1402
252	0.0122604	630/1000	0	AU0075	SC1407
253	0.000508006	979/1000	0	AU0075	SC1419
254	0.000458924	981/1000	0	AU0075	SC1420
255	0.000458924	981/1000	0	AU0075	SC1421
256	0.000409992	983/1000	0	AU0075	SC1435
257	0.00384578	856/1000	0	AU0075	AU7263
258	0.00351914	867/1000	0	AU0075	AU7574
259	0.0034604	869/1000	0	AU0075	AU7575
260	0.0037263	860/1000	0	AU0075	AU7576
261	0.00348975	868/1000	0	AU0075	AU7577
262	0.00115999	953/1000	0	AU0075	AU8675
263	0.00343111	870/1000	0	AU0075	AU8821
264	0.00381583	857/1000	0	AU0075	AU9400
265	0.00384578	856/1000	0	AU0075	AU9817
266	0.00518381	813/1000	0	AU0075	HI2555
267	0.00439372	838/1000	0	AU0075	HI2629
268	0.0214305	468/1000	0	AU0075	HI3282
269	0.00869309	714/1000	0	AU0075	HI3283
270	0.00181236	928/1000	0	AU0075	HI3284
271	0.014871	577/1000	0	AU0075	HI3285
272	0.00708822	757/1000	0	AU0075	HI3286
273	0.00402654	850/1000	0	AU0075	HI3287
274	0.00343111	870/1000	0	AU0075	HI3288
275	0.00173271	931/1000	0	AU0075	HI3289
276	0.00439372	838/1000	0	AU0075	AU11243
277	0.000981871	960/1000	0	AU0075	AU1746
278	9.55247e-05	996/1000	0	AU0075	AU36973
279	0.00473708	827/1000	0	AU0075	AU6936
280	0.00408721	848/1000	0	AU0075	HI3290
281	0.000906124	963/1000	0	AU0075	AU1141
282	0.000906124	963/1000	0	AU0075	AU1142
283	0.000956583	961/1000	0	AU0075	AU1143
284	0.00381583	857/1000	0	AU0075	AU11478
285	0.00515153	814/1000	0	AU0075	AU11643
286	0.00108342	956/1000	0	AU0075	AU12824
287	0.00461146	831/1000	0	AU0075	AU1317
288	0.00381583	857/1000	0	AU0075	AU13363
289	0.00381583	857/1000	0	AU0075	AU13364
290	0.000167546	993/1000	0	AU0075	AU14286
291	0.000191626	992/1000	0	AU0075	AU15033
292	0.00683925	764/1000	0	AU0075	AU15182
293	0.00430121	841/1000	0	AU0075	AU1541
294	0.00105797	957/1000	0	AU0075	AU15410
295	0.00381583	857/1000	0	AU0075	AU15487
296	0.00378594	858/1000	0	AU0075	AU15488
297	0.00378594	858/1000	0	AU0075	AU1581
298	0.00547692	804/1000	0	AU0075	AU17012
299	0.000409992	983/1000	0	AU0075	AU1054
300	0.00167981	933/1000	0	AU0075	HI2424
301	0.000119496	995/1000	0	AU0106	AU0201
302	0.295981	1/1000	0.000420074	AU0106	AU0300
303	0.00467416	829/1000	0	AU0106	AU0361
304	0.000532603	978/1000	0	AU0106	AU0465
305	0.0239063	434/1000	0	AU0106	AU0766
306	0.00505504	817/1000	0	AU0106	AU0927
307	0.00393593	853/1000	0	AU0106	AU10040
308	0.00405685	849/1000	0	AU0106	AU10310
309	0.000557238	977/1000	0	AU0106	AU1051
310	0.000508006	979/1000	0	AU0106	AU1055
311	0.000508006	979/1000	0	AU0106	AU1056
312	0.000508006	979/1000	0	AU0106	AU1057
313	0.000931334	962/1000	0	AU0106	AU1064
314	0.0011089	955/1000	0	AU0106	AU10643
315	0.00334352	873/1000	0	AU0106	AU11001
316	0.00328537	875/1000	0	AU0106	AU11002
317	0.00340187	871/1000	0	AU0106	AU11091
318	0.000557238	977/1000	0	AU0106	AU3739
319	0.00451781	834/1000	0	AU0106	AU3740
320	0.00430121	841/1000	0	AU0106	AU3741
321	0.0123533	628/1000	0	AU0106	AU37618
322	0.000264084	989/1000	0	AU0106	AU37865
323	0.00334352	873/1000	0	AU0106	AU38079
324	0.00464278	830/1000	0	AU0106	AU3827
325	0.000981871	960/1000	0	AU0106	AU3828
326	0.00387578	855/1000	0	AU0106	AU38375
327	0.00381583	857/1000	0	AU0106	AU4094
328	0.00464278	830/1000	0	AU0106	AU4165
329	0.000167546	993/1000	0	AU0106	AU4276
330	0.00869309	714/1000	0	AU0106	AU4359
331	0.00325637	876/1000	0	AU0106	AU4381
332	0.00378594	858/1000	0	AU0106	AU4993
333	0.00381583	857/1000	0	AU0106	AU5341
334	0.00152214	939/1000	0	AU0106	AU6015
335	0.00105797	957/1000	0	AU0106	AU6319
336	0.00121124	951/1000	0	AU0106	AU6667
337	0.00115999	953/1000	0	AU0106	AU6668
338	0.00378594	858/1000	0	AU0106	AU1836
339	0.00265838	897/1000	0	AU0106	AU18616
340	0.00804257	731/1000	0	AU0106	AU1887
341	0.00470559	828/1000	0	AU0106	AU18884
342	0.00381583	857/1000	0	AU0106	AU18901
343	0.0011856	952/1000	0	AU0106	AU20364
344	0.000143503	994/1000	0	AU0106	AU20865
345	0.00178577	929/1000	0	AU0106	AU20866
346	0.00387578	855/1000	0	AU0106	AU21680
347	0.000143503	994/1000	0	AU0106	AU21755
348	0.000143503	994/1000	0	AU0106	AU23407
349	7.15897e-05	997/1000	0	AU0106	AU23516
350	0.0010072	959/1000	0	AU0106	AU2427
351	0.0010072	959/1000	0	AU0106	AU2428
352	0.00229842	910/1000	0	AU0106	AU24509
353	0.00354859	866/1000	0	AU0106	AU24606
354	0.00427048	842/1000	0	AU0106	AU2554
355	0.00402654	850/1000	0	AU0106	AU25711
356	0.000956583	961/1000	0	AU0106	AU25990
357	0.00105797	957/1000	0	AU0106	AU25991
358	0.00390583	854/1000	0	AU0106	AU28089
359	0.00638544	777/1000	0	AU0106	AU28626
360	0.000931334	962/1000	0	AU0106	AU2986
361	0.0055427	802/1000	0	AU0106	AU29957
362	0.00108342	956/1000	0	AU0106	AU3060
363	0.00227104	911/1000	0	AU0106	AU30919
364	9.55247e-05	996/1000	0	AU0106	AU31639
365	0.00433199	840/1000	0	AU0106	AU32367
366	0.00387578	855/1000	0	AU0106	AU33182
367	0.000215742	991/1000	0	AU0106	AU33869
368	0.0112201	653/1000	0	AU0106	AU33878
369	0.000483446	980/1000	0	AU0106	AU3415
370	0.000508006	979/1000	0	AU0106	AU3416
371	0.0084995	719/1000	0	AU0106	AU34858
372	0.000119496	995/1000	0	AU0106	AU35919
373	0.00793	734/1000	0	AU0106	AU36258
374	0.000119496	995/1000	0	AU0106	AU36284
375	0.000143503	994/1000	0	AU0106	AU36474
376	0.00411762	847/1000	0	AU0106	HI3291
377	0.00430121	841/1000	0	AU0106	HI3292
378	0.00402654	850/1000	0	AU0106	HI3293
379	0.00405685	849/1000	0	AU0106	HI3294
380	0.00405685	849/1000	0	AU0106	HI3295
381	0.000631368	974/1000	0	AU0106	PC668
382	0.00058191	976/1000	0	AU0106	PC669
383	9.55247e-05	996/1000	0	AU0106	PC673
384	0.000458924	981/1000	0	AU0106	PC674
385	0.000483446	980/1000	0	AU0106	PC675
386	0.000434439	982/1000	0	AU0106	PC676
387	0.000167546	993/1000	0	AU0106	PC677
388	0.000532603	978/1000	0	AU0106	PC678
389	0.000532603	978/1000	0	AU0106	SC1128
390	0.000458924	981/1000	0	AU0106	SC1129
391	0.000458924	981/1000	0	AU0106	SC1145
392	0.000508006	979/1000	0	AU0106	SC1209
393	0.0084995	719/1000	0	AU0106	SC1210
394	0.000508006	979/1000	0	AU0106	SC1211
395	0.000483446	980/1000	0	AU0106	SC1339
396	0.000981871	960/1000	0	AU0106	SC1360
397	0.000483446	980/1000	0	AU0106	SC1371
398	0.000483446	980/1000	0	AU0106	SC1392
399	0.000508006	979/1000	0	AU0106	SC1400
400	0.000931334	962/1000	0	AU0106	SC1402
401	0.0122604	630/1000	0	AU0106	SC1407
402	0.000557238	977/1000	0	AU0106	SC1419
403	0.000508006	979/1000	0	AU0106	SC1420
404	0.000508006	979/1000	0	AU0106	SC1421
405	0.000458924	981/1000	0	AU0106	SC1435
406	0.00381583	857/1000	0	AU0106	AU7263
407	0.00348975	868/1000	0	AU0106	AU7574
408	0.00343111	870/1000	0	AU0106	AU7575
409	0.00369655	861/1000	0	AU0106	AU7576
410	0.0034604	869/1000	0	AU0106	AU7577
411	0.00115999	953/1000	0	AU0106	AU8675
412	0.00340187	871/1000	0	AU0106	AU8821
413	0.00378594	858/1000	0	AU0106	AU9400
414	0.00381583	857/1000	0	AU0106	AU9817
415	0.00518381	813/1000	0	AU0106	HI2555
416	0.00439372	838/1000	0	AU0106	HI2629
417	0.0214305	468/1000	0	AU0106	HI3282
418	0.00873204	713/1000	0	AU0106	HI3283
419	0.00186568	926/1000	0	AU0106	HI3284
420	0.0149234	576/1000	0	AU0106	HI3285
421	0.00708822	757/1000	0	AU0106	HI3286
422	0.00399629	851/1000	0	AU0106	HI3287
423	0.00340187	871/1000	0	AU0106	HI3288
424	0.00178577	929/1000	0	AU0106	HI3289
425	0.00439372	838/1000	0	AU0106	AU11243
426	0.000981871	960/1000	0	AU0106	AU1746
427	0.000143503	994/1000	0	AU0106	AU36973
428	0.00473708	827/1000	0	AU0106	AU6936
429	0.00405685	849/1000	0	AU0106	HI3290
430	0.000906124	963/1000	0	AU0106	AU1141
431	0.000906124	963/1000	0	AU0106	AU1142
432	0.000956583	961/1000	0	AU0106	AU1143
433	0.00378594	858/1000	0	AU0106	AU11478
434	0.00515153	814/1000	0	AU0106	AU11643
435	0.00108342	956/1000	0	AU0106	AU12824
436	0.00461146	831/1000	0	AU0106	AU1317
437	0.00378594	858/1000	0	AU0106	AU13363
438	0.00378594	858/1000	0	AU0106	AU13364
439	0.000215742	991/1000	0	AU0106	AU14286
440	0.000239895	990/1000	0	AU0106	AU15033
441	0.00683925	764/1000	0	AU0106	AU15182
442	0.00427048	842/1000	0	AU0106	AU1541
443	0.0011089	955/1000	0	AU0106	AU15410
444	0.00378594	858/1000	0	AU0106	AU15487
445	0.00375609	859/1000	0	AU0106	AU15488
446	0.00375609	859/1000	0	AU0106	AU1581
447	0.00547692	804/1000	0	AU0106	AU17012
448	0.000458924	981/1000	0	AU0106	AU1054
449	0.00173271	931/1000	0	AU0106	HI2424
450	0.295981	1/1000	0.000420082	AU0201	AU0300
451	0.00470559	828/1000	0	AU0201	AU0361
452	0.000508006	979/1000	0	AU0201	AU0465
453	0.0239063	434/1000	0	AU0201	AU0766
454	0.00508714	816/1000	0	AU0201	AU0927
455	0.00396608	852/1000	0	AU0201	AU10040
456	0.00408721	848/1000	0	AU0201	AU10310
457	0.000532603	978/1000	0	AU0201	AU1051
458	0.000483446	980/1000	0	AU0201	AU1055
459	0.000483446	980/1000	0	AU0201	AU1056
460	0.000483446	980/1000	0	AU0201	AU1057
461	0.000906124	963/1000	0	AU0201	AU1064
462	0.00108342	956/1000	0	AU0201	AU10643
463	0.00340187	871/1000	0	AU0201	AU11001
464	0.00331442	874/1000	0	AU0201	AU11002
465	0.0034604	869/1000	0	AU0201	AU11091
466	0.000532603	978/1000	0	AU0201	AU3739
467	0.00451781	834/1000	0	AU0201	AU3740
468	0.00430121	841/1000	0	AU0201	AU3741
469	0.0123068	629/1000	0	AU0201	AU37618
470	0.000239895	990/1000	0	AU0201	AU37865
471	0.00337267	872/1000	0	AU0201	AU38079
472	0.00467416	829/1000	0	AU0201	AU3827
473	0.0010072	959/1000	0	AU0201	AU3828
474	0.00390583	854/1000	0	AU0201	AU38375
475	0.00384578	856/1000	0	AU0201	AU4094
476	0.00467416	829/1000	0	AU0201	AU4165
477	0.000143503	994/1000	0	AU0201	AU4276
478	0.00869309	714/1000	0	AU0201	AU4359
479	0.00328537	875/1000	0	AU0201	AU4381
480	0.00378594	858/1000	0	AU0201	AU4993
481	0.00381583	857/1000	0	AU0201	AU5341
482	0.00149601	940/1000	0	AU0201	AU6015
483	0.00108342	956/1000	0	AU0201	AU6319
484	0.00123693	950/1000	0	AU0201	AU6667
485	0.00113443	954/1000	0	AU0201	AU6668
486	0.00381583	857/1000	0	AU0201	AU1836
487	0.00268639	896/1000	0	AU0201	AU18616
488	0.00804257	731/1000	0	AU0201	AU1887
489	0.00473708	827/1000	0	AU0201	AU18884
490	0.00381583	857/1000	0	AU0201	AU18901
491	0.00115999	953/1000	0	AU0201	AU20364
492	0.000119496	995/1000	0	AU0201	AU20865
493	0.00175922	930/1000	0	AU0201	AU20866
494	0.00390583	854/1000	0	AU0201	AU21680
495	0.000119496	995/1000	0	AU0201	AU21755
496	0.000119496	995/1000	0	AU0201	AU23407
497	9.55247e-05	996/1000	0	AU0201	AU23516
498	0.00103256	958/1000	0	AU0201	AU2427
499	0.000981871	960/1000	0	AU0201	AU2428
500	0.00229842	910/1000	0	AU0201	AU24509
501	0.00357808	865/1000	0	AU0201	AU24606
502	0.00430121	841/1000	0	AU0201	AU2554
503	0.00405685	849/1000	0	AU0201	AU25711
504	0.000981871	960/1000	0	AU0201	AU25990
505	0.00103256	958/1000	0	AU0201	AU25991
506	0.00393593	853/1000	0	AU0201	AU28089
507	0.00635099	778/1000	0	AU0201	AU28626
508	0.000906124	963/1000	0	AU0201	AU2986
509	0.00557568	801/1000	0	AU0201	AU29957
510	0.0011089	955/1000	0	AU0201	AU3060
511	0.00224371	912/1000	0	AU0201	AU30919
512	7.15897e-05	997/1000	0	AU0201	AU31639
513	0.00433199	840/1000	0	AU0201	AU32367
514	0.00390583	854/1000	0	AU0201	AU33182
515	0.000191626	992/1000	0	AU0201	AU33869
516	0.0112201	653/1000	0	AU0201	AU33878
517	0.000458924	981/1000	0	AU0201	AU3415
518	0.000483446	980/1000	0	AU0201	AU3416
519	0.0084995	719/1000	0	AU0201	AU34858
520	9.55247e-05	996/1000	0	AU0201	AU35919
521	0.00789262	735/1000	0	AU0201	AU36258
522	9.55247e-05	996/1000	0	AU0201	AU36284
523	0.000119496	995/1000	0	AU0201	AU36474
524	0.00414809	846/1000	0	AU0201	HI3291
525	0.00436283	839/1000	0	AU0201	HI3292
526	0.00405685	849/1000	0	AU0201	HI3293
527	0.00405685	849/1000	0	AU0201	HI3294
528	0.00408721	848/1000	0	AU0201	HI3295
529	0.00060662	975/1000	0	AU0201	PC668
530	0.000557238	977/1000	0	AU0201	PC669
531	7.15897e-05	997/1000	0	AU0201	PC673
532	0.000434439	982/1000	0	AU0201	PC674
533	0.000458924	981/1000	0	AU0201	PC675
534	0.000409992	983/1000	0	AU0201	PC676
535	0.000143503	994/1000	0	AU0201	PC677
536	0.000508006	979/1000	0	AU0201	PC678
537	0.000508006	979/1000	0	AU0201	SC1128
538	0.000434439	982/1000	0	AU0201	SC1129
539	0.000434439	982/1000	0	AU0201	SC1145
540	0.000483446	980/1000	0	AU0201	SC1209
541	0.0084995	719/1000	0	AU0201	SC1210
542	0.000483446	980/1000	0	AU0201	SC1211
543	0.000458924	981/1000	0	AU0201	SC1339
544	0.000956583	961/1000	0	AU0201	SC1360
545	0.000458924	981/1000	0	AU0201	SC1371
546	0.000458924	981/1000	0	AU0201	SC1392
547	0.000483446	980/1000	0	AU0201	SC1400
548	0.000906124	963/1000	0	AU0201	SC1402
549	0.0122604	630/1000	0	AU0201	SC1407
550	0.000532603	978/1000	0	AU0201	SC1419
551	0.000483446	980/1000	0	AU0201	SC1420
552	0.000483446	980/1000	0	AU0201	SC1421
553	0.000434439	982/1000	0	AU0201	SC1435
554	0.00384578	856/1000	0	AU0201	AU7263
555	0.00351914	867/1000	0	AU0201	AU7574
